项目版本号,修订类型,系统,板块,子板块,功能模块,描述,需求来源
v1.0,新增,智能外呼系统,外呼列表,查看外呼,数据概览,新增外呼数据统计，展示导入客户数、外呼客户数、过滤客户数、接听数、未接通数、平均通话时长等指标,产品规划
v1.0,新增,智能外呼系统,外呼列表,查看外呼,意向分类,新增意向分类统计，展示意向客户占比和客户数,产品规划
v1.0,新增,智能外呼系统,外呼列表,查看外呼,意向洞察,新增意向分布环形图、客户关注点排行和通话时长分布图,产品规划
v1.0,新增,智能外呼系统,外呼列表,查看外呼,全部客户关注点排名,支持点击“全部”查看完整客户关注点排名弹窗,产品规划
v1.0,新增,智能外呼系统,外呼列表,查看外呼,任务详情,新增任务详情展示，包含创建日期、话术名称、任务 ID、拨打时段、风控策略等信息,产品规划
v1.0,新增,智能外呼系统,外呼列表,呼叫名单,手动导入,新增号码文件上传与导入记录管理能力,产品规划
v1.0,新增,智能外呼系统,外呼列表,呼叫名单,导出失败记录,支持导出导入失败记录 CSV 文件,产品规划
v1.0,新增,智能外呼系统,业务场景,一知,大小模型关联账号,支持大模型、小模型选项关联对应账号配置,产品规划
v1.0,新增,智能外呼系统,外呼列表,数据概览,意向数据设置,支持配置意向等级 1/2/3 关联标签,产品规划
v1.0,优化,智能外呼系统,外呼列表,数据概览,意向枚举值,补充一知总部、门店不同租户类型的意向等级枚举说明,产品规划
