sep=,
"项目版本号","修订类型","系统","板块","子板块","功能模块","描述","需求来源"
"v1.0","新增","智能外呼系统","统计分析","线索统计","外呼线索统计","提供按导入日期和业务类型聚合的外呼线索统计看板。","产品规划"
"v1.0","新增","智能外呼系统","统计分析","线索统计","外呼线索明细","提供逐条外呼线索记录明细，支持查看线索编码、手机号、门店、通话状态和意向级别等信息。","产品规划"
"v1.0","新增","智能外呼系统","统计分析","线索统计","线索回流统计","统计业务系统传入、提交外呼和回传业务系统的线索数量。","产品规划"
"v1.0","新增","智能外呼系统","统计分析","外呼线索统计","总部 NEV 线索","支持查看总部 NEV 线索的汇总统计数据。","产品规划"
"v1.0","新增","智能外呼系统","统计分析","外呼线索统计","总部 ICE 线索","支持查看总部 ICE 线索的汇总统计数据。","产品规划"
"v1.0","新增","智能外呼系统","统计分析","外呼线索明细","总部 NEV 线索","支持查看总部 NEV 线索的逐条外呼明细。","产品规划"
"v1.0","新增","智能外呼系统","统计分析","外呼线索明细","总部 ICE 线索","支持查看总部 ICE 线索的逐条外呼明细。","产品规划"
"v1.0","新增","智能外呼系统","统计分析","外呼线索统计","导入时间筛选","支持按导入时间范围筛选统计数据，默认展示最近 7 天。","产品规划"
"v1.0","新增","智能外呼系统","统计分析","外呼线索统计","业务类型筛选","支持按冷线索和新线索筛选统计数据。","产品规划"
"v1.0","新增","智能外呼系统","统计分析","外呼线索明细","导入时间筛选","支持按线索导入时间范围筛选明细数据。","产品规划"
"v1.0","新增","智能外呼系统","统计分析","外呼线索明细","呼叫时间筛选","支持按首次或实际呼叫时间范围筛选明细数据。","产品规划"
"v1.0","新增","智能外呼系统","统计分析","外呼线索明细","呼叫任务场景筛选","支持按呼叫任务场景名称筛选外呼线索明细。","产品规划"
"v1.0","新增","智能外呼系统","统计分析","外呼线索明细","意向级别筛选","支持按 A、B、C、D、E 意向级别多选筛选线索明细。","产品规划"
"v1.0","新增","智能外呼系统","统计分析","外呼线索明细","门店筛选","支持按门店关键字模糊查询外呼线索明细。","产品规划"
"v1.0","新增","智能外呼系统","统计分析","线索回流统计","统计时间筛选","支持按统计时间范围筛选线索回流统计数据。","产品规划"
"v1.0","新增","智能外呼系统","统计分析","线索回流统计","场景名称筛选","支持按场景名称筛选线索回流统计数据。","产品规划"
"v1.0","新增","智能外呼系统","统计分析","线索统计","重置筛选","支持一键重置当前页面筛选条件。","产品规划"
"v1.0","新增","智能外呼系统","统计分析","线索统计","查询搜索","支持根据当前筛选条件发起查询或搜索操作。","产品规划"
"v1.0","新增","智能外呼系统","统计分析","线索统计","报表导出","支持提交异步导出任务，并在导出过程中防止重复点击。","产品规划"
"v1.0","新增","智能外呼系统","统计分析","线索统计","刷新数据","支持刷新当前报表页面数据。","产品规划"
"v1.0","新增","智能外呼系统","统计分析","线索统计","分页展示","支持展示总条数、页码、每页条数和跳页入口。","产品规划"
"v1.0","新增","智能外呼系统","统计分析","外呼线索统计","AI 接通率","统计并展示 AI 外呼接通率。","产品规划"
"v1.0","新增","智能外呼系统","统计分析","外呼线索统计","平均通话时长","统计并展示接通线索的平均通话时长。","产品规划"
"v1.0","新增","智能外呼系统","统计分析","外呼线索统计","意向客户数统计","按 A、B、C、D、E 意向级别统计客户数量。","产品规划"
"v1.0","新增","智能外呼系统","统计分析","外呼线索明细","手机号脱敏","手机号按前三后四方式进行掩码脱敏展示。","产品规划"
"v1.0","新增","智能外呼系统","统计分析","外呼线索明细","通话状态标签","通话状态以颜色标签形式展示，便于快速识别结果。","产品规划"
"v1.0","新增","智能外呼系统","统计分析","外呼线索明细","意向级别标签","外呼中台和业务系统意向级别以标签形式展示。","产品规划"
"v1.0","新增","智能外呼系统","系统框架","导航菜单","左侧菜单","提供首页、外呼场景、统计分析、外呼结果和系统管理菜单入口。","产品规划"
"v1.0","新增","智能外呼系统","系统框架","导航菜单","菜单展开收起","支持左侧一级菜单展开收起和二级菜单激活展示。","产品规划"
"v1.0","新增","智能外呼系统","系统框架","全局反馈","Toast 提示","支持查询、重置、导出、刷新等操作的全局提示反馈。","产品规划"
"v1.0","新增","智能外呼系统","系统框架","数据规范","通话状态枚举","定义 DCC、一知外呼和科大外呼之间的通话状态映射关系。","产品规划"
"v1.0","新增","智能外呼系统","系统框架","数据规范","意向级别枚举","定义 A 到 E 五类 NLP 意向级别及识别说明。","产品规划"
